TradeStation Trades List,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage
,Buy to Cover,6/16/2023 14:40,Buy,$52.03 ,,$4.00 ,$141.00 ,,($1.00),33.33%,26.67%,$0.00 ,$0.00 
39,Buy,6/16/2023 14:40,Buy,$52.03 ,$0.00 ,100,($7.00),-0.13%,$6.00 ,28.57%,,$0.00 ,$0.00 
,Sell,6/20/2023 8:45,Short,$51.96 ,,($7.00),$134.00 ,,($15.00),38.10%,-33.33%,$0.00 ,$0.00 
40,Sell Short,6/20/2023 8:45,Short,$51.96 ,$0.00 ,100,$38.00 ,0.73%,$49.00 ,87.50%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 10:40,Buy,$51.58 ,,$38.00 ,$172.00 ,,($7.00),80.36%,67.86%,$0.00 ,$0.00 
41,Buy,6/20/2023 10:40,Buy,$51.58 ,$0.00 ,100,($6.00),-0.12%,$1.00 ,10.00%,,$0.00 ,$0.00 
,Sell,6/20/2023 11:05,Short,$51.52 ,,($6.00),$166.00 ,,($9.00),30.00%,-60.00%,$0.00 ,$0.00 
42,Sell Short,6/20/2023 11:05,Short,$51.52 ,$0.00 ,100,($5.00),-0.10%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 11:10,Buy,$51.57 ,,($5.00),$161.00 ,,($6.00),16.67%,-83.33%,$0.00 ,$0.00 
43,Buy,6/20/2023 11:10,Buy,$51.57 ,$0.00 ,100,$11.00 ,0.21%,$18.00 ,100.00%,,$0.00 ,$0.00 
,Sell,6/20/2023 12:00,Short,$51.68 ,,$11.00 ,$172.00 ,,$0.00 ,61.11%,61.11%,$0.00 ,$0.00 
44,Sell Short,6/20/2023 12:00,Short,$51.68 ,$0.00 ,100,($11.00),-0.21%,$4.00 ,25.00%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 12:10,Buy,$51.79 ,,($11.00),$161.00 ,,($12.00),6.25%,-68.75%,$0.00 ,$0.00 
45,Buy,6/20/2023 12:10,Buy,$51.79 ,$0.00 ,100,($6.00),-0.12%,$9.00 ,60.00%,,$0.00 ,$0.00 
,Sell,6/20/2023 12:40,Short,$51.73 ,,($6.00),$155.00 ,,($6.00),0.00%,-40.00%,$0.00 ,$0.00 
46,Sell Short,6/20/2023 12:40,Short,$51.73 ,$0.00 ,100,$10.00 ,0.19%,$16.00 ,84.21%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 13:35,Buy,$51.63 ,,$10.00 ,$165.00 ,,($3.00),68.42%,52.63%,$0.00 ,$0.00 
47,Buy,6/20/2023 13:35,Buy,$51.63 ,$0.00 ,100,($1.00),-0.02%,$2.00 ,28.57%,,$0.00 ,$0.00 
,Sell,6/20/2023 13:40,Short,$51.62 ,,($1.00),$164.00 ,,($5.00),57.14%,-14.29%,$0.00 ,$0.00 
48,Sell Short,6/20/2023 13:40,Short,$51.62 ,$0.00 ,100,$1.00 ,0.02%,$6.00 ,75.00%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 14:15,Buy,$51.61 ,,$1.00 ,$165.00 ,,($2.00),37.50%,12.50%,$0.00 ,$0.00 
49,Buy,6/20/2023 14:15,Buy,$51.61 ,$0.00 ,100,($5.00),-0.10%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Sell,6/20/2023 14:20,Short,$51.56 ,,($5.00),$160.00 ,,($6.00),16.67%,-83.33%,$0.00 ,$0.00 
50,Sell Short,6/20/2023 14:20,Short,$51.56 ,$0.00 ,100,($8.00),-0.16%,$5.00 ,35.71%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 14:45,Buy,$51.64 ,,($8.00),$152.00 ,,($9.00),7.14%,-57.14%,$0.00 ,$0.00 
51,Buy,6/20/2023 14:45,Buy,$51.64 ,$0.00 ,100,($35.00),-0.68%,$8.00 ,18.18%,,$0.00 ,$0.00 
,Sell,6/21/2023 8:35,Short,$51.29 ,,($35.00),$117.00 ,,($36.00),2.27%,-79.55%,$0.00 ,$0.00 
52,Sell Short,6/21/2023 8:35,Short,$51.29 ,$0.00 ,100,$25.00 ,0.49%,$34.00 ,100.00%,,$0.00 ,$0.00 
,Buy to Cover,6/21/2023 9:50,Buy,$51.04 ,,$25.00 ,$142.00 ,,$0.00 ,73.53%,73.53%,$0.00 ,$0.00 
53,Buy,6/21/2023 9:50,Buy,$51.04 ,$0.00 ,100,($7.00),-0.14%,$1.00 ,9.09%,,$0.00 ,$0.00 
,Sell,6/21/2023 9:55,Short,$50.97 ,,($7.00),$135.00 ,,($10.00),27.27%,-63.64%,$0.00 ,$0.00 
54,Sell Short,6/21/2023 9:55,Short,$50.97 ,$0.00 ,100,($15.00),-0.29%,$2.00 ,11.11%,,$0.00 ,$0.00 
,Buy to Cover,6/21/2023 10:00,Buy,$51.12 ,,($15.00),$120.00 ,,($16.00),5.56%,-83.33%,$0.00 ,$0.00 
55,Buy,6/21/2023 10:00,Buy,$51.12 ,,100,n/a,n/a,$4.00 ,n/a,,$0.00 ,$0.00 
,Sell,Open,n/a,$51.08 ,,n/a,n/a,,($12.00),n/a,n/a,n/a,n/a
